# filename; lat; lon; alt; yawl; pitch; roll; x; y; z
20200707_093013_902_0562.jpg; 81.657701; 4.562596; 100.825; 161.290; 3.828; -10.507; 4.587568; 81.662506; 100.825
20200707_093017_903_0563.jpg; 81.656519; 4.563816; 103.666; 147.397; 3.076; -12.154; 4.588829; 81.661333; 103.666
20200707_093021_903_0564.jpg; 81.655469; 4.566722; 105.324; 130.395; 3.074; -12.705; 4.591777; 81.660291; 105.324
20200707_093025_903_0565.jpg; 81.654612; 4.571090; 105.116; 113.158; 2.350; -10.669; 4.596187; 81.659443; 105.116
20200707_093029_902_0566.jpg; 81.653955; 4.576353; 104.773; 103.866; 4.852; -5.377; 4.601492; 81.658795; 104.773
20200707_093033_903_0567.jpg; 81.653435; 4.581751; 104.659; 96.446; 3.949; -6.802; 4.606934; 81.658284; 104.659
20200707_093037_903_0568.jpg; 81.653061; 4.587176; 103.599; 87.449; 4.643; -5.435; 4.612402; 81.657918; 103.599
20200707_093041_905_0569.jpg; 81.652838; 4.592484; 103.068; 76.996; 4.475; -9.552; 4.617753; 81.657703; 103.068
20200707_093045_902_0570.jpg; 81.652821; 4.597319; 102.134; 62.373; 6.767; -7.166; 4.622633; 81.657695; 102.134
20200707_093049_903_0571.jpg; 81.652947; 4.601232; 100.093; 53.466; 7.148; -3.582; 4.626591; 81.657830; 100.093
20200707_093053_903_0572.jpg; 81.653136; 4.604256; 96.808; 41.229; 8.192; -4.823; 4.629660; 81.658027; 96.808
20200707_093057_910_0573.jpg; 81.653367; 4.606271; 94.698; 37.158; 7.580; -1.608; 4.631721; 81.658267; 94.698
20200707_093101_905_0574.jpg; 81.653572; 4.607797; 93.839; 39.499; 8.415; 0.385; 4.633292; 81.658480; 93.839
20200707_093105_903_0575.jpg; 81.653717; 4.609137; 94.894; 37.115; 7.864; -1.361; 4.634677; 81.658634; 94.894
20200707_093109_903_0576.jpg; 81.653829; 4.610203; 94.075; 40.298; 7.066; 0.409; 4.635788; 81.658755; 94.075
20200707_093113_903_0577.jpg; 81.653913; 4.611144; 91.888; 36.184; 7.337; -7.936; 4.636774; 81.658847; 91.888
20200707_093117_904_0578.jpg; 81.654051; 4.611166; 90.717; 36.964; 6.649; -8.444; 4.636841; 81.658994; 90.717
20200707_093121_903_0579.jpg; 81.654231; 4.610463; 92.505; 33.123; 6.103; 5.432; 4.636183; 81.659182; 92.505
20200707_093125_903_0580.jpg; 81.654354; 4.610397; 91.748; 34.824; 6.580; 2.823; 4.636162; 81.659314; 91.748
